年月日,開盤價(元),收盤價(元)
2022/1/3,108.0279,107.1007
2022/1/4,107.1007,107.1007
2022/1/5,106.637,107.1007
2022/1/6,107.5643,107.1007
2022/1/7,107.1007,107.1007
2022/1/10,107.1007,108.0279
2022/1/11,108.0279,108.0279
2022/1/12,108.0279,108.4916
2022/1/13,108.4916,108.9552
2022/1/14,108.9552,108.9552
2022/1/17,108.9552,108.4916
2022/1/18,108.4916,108.9552
2022/1/19,108.4916,108.4916
2022/1/20,108.4916,108.0279
2022/1/21,108.0279,108.4916
2022/1/24,108.0279,108.4916
2022/1/25,107.5643,108.4916
2022/1/26,108.4916,108.9552
2022/2/7,109.4189,109.8825
2022/2/8,109.8825,109.4189
2022/2/9,109.8825,109.8825
2022/2/10,110.3461,110.8098
2022/2/11,110.3461,110.8098
2022/2/14,110.3461,111.2734
2022/2/15,111.2734,111.2734
2022/2/16,111.2734,112.2007
2022/2/17,112.6643,112.6643
2022/2/18,112.6643,113.128
2022/2/21,113.128,114.5189
2022/2/22,114.0552,114.5189
2022/2/23,114.5189,116.3734
2022/2/24,115.9098,115.4462
2022/2/25,114.9825,115.4462
2022/3/1,115.9098,115.4462
2022/3/2,115.9098,114.5189
2022/3/3,114.5189,113.5916
2022/3/4,113.5916,114.0552
2022/3/7,113.128,112.2007
2022/3/8,111.2734,113.128
2022/3/9,113.128,113.5916
2022/3/10,113.5916,114.0552
2022/3/11,113.5916,113.5916
2022/3/14,113.5916,114.0552
2022/3/15,114.0552,115.9098
2022/3/16,114.9825,116.8371
2022/3/17,116.8371,116.3734
2022/3/18,116.8371,117.3007
2022/3/21,116.3734,117.3007
2022/3/22,117.3007,117.3007
2022/3/23,116.8371,117.3007
2022/3/24,116.3734,117.7644
2022/3/25,116.8371,118.6916
2022/3/28,117.7644,118.6916
2022/3/29,118.228,117.7644
2022/3/30,118.228,117.7644
2022/3/31,117.7644,117.7644
2022/4/1,117.3007,117.7644
2022/4/6,117.7644,117.7644
2022/4/7,117.7644,117.7644
2022/4/8,118.228,118.6916
2022/4/11,118.6916,120.5462
2022/4/12,119.6189,119.1553
2022/4/13,119.6189,119.1553
2022/4/14,119.1553,120.5462
2022/4/15,120.0826,120.0826
2022/4/18,119.1553,120.5462
2022/4/19,120.5462,120.0826
2022/4/20,119.6189,121.4735
2022/4/21,121.4735,121.4735
2022/4/22,121.0098,121.9371
2022/4/25,121.4735,121.9371
2022/4/26,121.4735,122.4008
2022/4/27,121.9371,122.4008
2022/4/28,122.4008,121.9371
2022/4/29,121.4735,121.4735
2022/5/3,120.5462,118.228
2022/5/4,117.3007,114.9825
2022/5/5,115.9098,115.9098
2022/5/6,114.9825,117.3007
2022/5/9,116.8371,115.9098
2022/5/10,115.9098,115.4462
2022/5/11,115.4462,115.9098
2022/5/12,115.9098,114.9825
2022/5/13,115.4462,114.9825
2022/5/16,115.9098,114.9825
2022/5/17,115.4462,114.5189
2022/5/18,114.9825,115.9098
2022/5/19,115.9098,115.4462
2022/5/20,115.4462,115.4462
2022/5/23,115.9098,114.5189
2022/5/24,114.9825,114.9825
2022/5/25,114.9825,115.9098
2022/5/26,115.9098,118.228
2022/5/27,118.228,116.3734
2022/5/30,116.8371,117.7644
2022/5/31,117.3007,117.7644
2022/6/1,117.3007,115.9098
2022/6/2,116.3734,115.9098
2022/6/6,116.8371,116.8371
2022/6/7,116.8371,116.3734
2022/6/8,116.8371,117.3007
2022/6/9,117.3007,116.8371
2022/6/10,116.8371,115.9098
2022/6/13,116.3734,115.9098
2022/6/14,115.9098,115.4462
2022/6/15,115.4462,115.9098
2022/6/16,116.8371,114.9825
2022/6/17,114.9825,115.9098
2022/6/20,115.9098,115.9098
2022/6/21,116.3734,117.3007
2022/6/22,117.3007,116.3734
2022/6/23,117.3007,117.7644
2022/6/24,117.3007,119.6189
2022/6/27,120.0826,119.1553
2022/6/28,119.1553,119.6189
2022/6/29,119.6189,121.0098
2022/6/30,119.1931,117.2707
2022/7/1,117.2707,119.1931
2022/7/4,120.1544,121.5962
2022/7/5,122.5575,122.0768
2022/7/6,123.0381,123.0381
2022/7/7,123.0381,122.5575
2022/7/8,122.0768,119.6738
2022/7/11,120.1544,119.1931
2022/7/12,118.7125,117.7513
2022/7/13,117.7513,119.1931
2022/7/14,120.1544,118.2319
2022/7/15,117.7513,118.2319
2022/7/18,119.1931,118.2319
2022/7/19,118.2319,116.7901
2022/7/20,116.7901,115.3482
2022/7/21,114.8676,114.8676
2022/7/22,114.387,113.9063
2022/7/25,113.9063,115.3482
2022/7/26,115.3482,115.3482
2022/7/27,114.8676,116.7901
2022/7/28,116.7901,116.7901
2022/7/29,117.2707,116.7901
2022/8/1,117.7513,117.2707
2022/8/2,117.2707,117.7513
2022/8/3,116.7901,116.7901
2022/8/4,116.7901,115.8288
2022/8/5,116.3094,117.2707
2022/8/8,117.2707,117.7513
2022/8/9,117.2707,117.7513
2022/8/10,117.7513,117.7513
2022/8/11,118.7125,120.1544
2022/8/12,120.1544,120.1544
2022/8/15,120.1544,119.6738
2022/8/16,120.1544,118.7125
2022/8/17,119.1931,118.2319
2022/8/18,118.2319,117.7513
2022/8/19,117.2707,116.7901
2022/8/22,116.3094,118.2319
2022/8/23,118.2319,117.7513
2022/8/24,117.7513,117.2707
2022/8/25,117.2707,117.2707
2022/8/26,117.2707,117.2707
2022/8/29,117.2707,118.2319
2022/8/30,117.7513,117.7513
2022/8/31,117.2707,116.3094
2022/9/1,116.3094,116.3094
2022/9/2,116.3094,116.3094
2022/9/5,116.3094,117.2707
2022/9/6,117.2707,116.7901
2022/9/7,116.3094,115.8288
2022/9/8,115.8288,116.3094
2022/9/12,117.2707,116.3094
2022/9/13,116.3094,116.3094
2022/9/14,115.3482,114.8676
2022/9/15,114.8676,114.387
2022/9/16,113.9063,113.4257
2022/9/19,113.4257,113.4257
2022/9/20,113.9063,113.4257
2022/9/21,113.4257,112.9451
2022/9/22,111.9839,111.5033
2022/9/23,111.9839,110.542
2022/9/26,110.0614,111.9839
2022/9/27,112.4645,111.5033
2022/9/28,112.4645,111.9839
2022/9/29,112.4645,111.5033
2022/9/30,110.542,109.5808
2022/10/3,108.6196,107.1777
2022/10/4,108.1389,107.6583
2022/10/5,107.6583,107.1777
2022/10/6,107.1777,106.2165
2022/10/7,105.7359,106.2165
2022/10/11,105.2552,104.7746
2022/10/12,104.7746,105.7359
2022/10/13,105.2552,104.7746
2022/10/14,105.2552,104.7746
2022/10/17,104.294,104.7746
2022/10/18,105.2552,104.294
2022/10/19,104.294,103.3328
2022/10/20,102.8521,102.8521
2022/10/21,103.3328,103.8134
2022/10/24,103.8134,103.3328
2022/10/25,103.8134,106.2165
2022/10/26,105.7359,104.294
2022/10/27,104.7746,105.2552
2022/10/28,105.2552,104.7746
2022/10/31,105.7359,106.6971
2022/11/1,106.2165,105.2552
2022/11/2,104.7746,104.294
2022/11/3,104.294,104.294
2022/11/4,103.3328,104.294
2022/11/7,104.294,103.8134
2022/11/8,103.8134,104.294
2022/11/9,103.8134,104.7746
2022/11/10,104.294,104.294
2022/11/11,105.2552,105.2552
2022/11/14,105.2552,105.2552
2022/11/15,105.2552,104.7746
2022/11/16,104.294,104.294
2022/11/17,104.294,103.8134
2022/11/18,103.8134,104.7746
2022/11/21,104.7746,104.7746
2022/11/22,104.7746,104.294
2022/11/23,104.7746,104.7746
2022/11/24,105.2552,105.7359
2022/11/25,105.7359,108.1389
2022/11/28,107.1777,106.2165
2022/11/29,106.2165,107.6583
2022/11/30,107.6583,109.1002
2022/12/1,109.5808,107.1777
2022/12/2,107.1777,107.6583
2022/12/5,107.6583,108.1389
2022/12/6,107.6583,107.6583
2022/12/7,107.6583,108.1389
2022/12/8,107.6583,106.6971
2022/12/9,107.1777,107.6583
2022/12/12,107.1777,108.1389
2022/12/13,107.6583,106.6971
2022/12/14,107.6583,107.1777
2022/12/15,108.1389,107.6583
2022/12/16,106.6971,106.2165
2022/12/19,106.2165,107.1777
2022/12/20,106.6971,107.1777
2022/12/21,107.1777,107.1777
2022/12/22,107.6583,108.6196
2022/12/23,107.6583,108.1389
2022/12/26,108.6196,108.6196
2022/12/27,109.1002,108.6196
2022/12/28,108.1389,109.5808
2022/12/29,108.6196,108.6196
2022/12/30,109.1002,108.6196
2023/1/3,108.6196,108.6196
2023/1/4,109.1002,109.1002
2023/1/5,109.1002,109.5808
2023/1/6,109.5808,109.5808
2023/1/9,110.0614,110.542
2023/1/10,110.542,110.542
2023/1/11,110.542,109.5808
2023/1/12,109.5808,109.1002
2023/1/13,109.5808,109.5808
2023/1/16,109.5808,110.542
2023/1/17,110.0614,109.5808
2023/1/30,111.0226,110.0614
2023/1/31,110.0614,108.1389
2023/2/1,108.1389,108.1389
2023/2/2,107.6583,107.6583
2023/2/3,107.6583,108.6196
2023/2/6,108.1389,108.1389
2023/2/7,108.6196,108.1389
2023/2/8,108.1389,108.1389
2023/2/9,108.1389,108.1389
2023/2/10,107.6583,108.6196
2023/2/13,108.6196,109.1002
2023/2/14,109.5808,109.5808
2023/2/15,109.5808,109.1002
2023/2/16,109.1002,109.5808
2023/2/17,109.5808,109.1002
2023/2/20,109.5808,110.542
2023/2/21,110.0614,110.0614
2023/2/22,110.0614,110.542
2023/2/23,110.542,111.0226
2023/2/24,111.0226,111.0226
2023/3/1,111.0226,110.542
2023/3/2,110.542,111.9839
2023/3/3,112.4645,112.9451
2023/3/6,113.4257,113.4257
2023/3/7,113.4257,113.9063
2023/3/8,113.4257,114.387
2023/3/9,114.387,113.9063
2023/3/10,113.9063,112.9451
2023/3/13,112.4645,114.387
2023/3/14,113.4257,112.9451
2023/3/15,113.4257,114.387
2023/3/16,113.9063,114.387
2023/3/17,114.387,113.4257
2023/3/20,113.9063,114.387
2023/3/21,114.387,113.9063
2023/3/22,114.387,114.8676
2023/3/23,114.8676,115.3482
2023/3/24,115.3482,114.8676
2023/3/27,115.3482,115.3482
2023/3/28,115.3482,114.8676
2023/3/29,115.3482,115.3482
2023/3/30,115.3482,115.3482
2023/3/31,115.3482,114.8676
2023/4/6,115.3482,115.8288
2023/4/7,115.8288,116.3094
2023/4/10,116.3094,117.7513
2023/4/11,117.7513,118.2319
2023/4/12,118.2319,118.2319
2023/4/13,118.2319,119.1931
2023/4/14,119.1931,119.6738
2023/4/17,119.6738,120.635
2023/4/18,120.1544,121.1156
2023/4/19,121.1156,119.6738
2023/4/20,119.6738,120.1544
2023/4/21,119.6738,121.1156
2023/4/24,120.635,121.1156
2023/4/25,121.1156,121.1156
2023/4/26,121.1156,122.0768
2023/4/27,121.5962,121.5962
2023/4/28,121.5962,122.0768
2023/5/2,121.5962,120.635
2023/5/3,120.1544,120.635
2023/5/4,120.1544,121.5962
2023/5/5,121.5962,121.5962
2023/5/8,121.5962,121.5962
2023/5/9,121.1156,121.5962
2023/5/10,121.5962,121.1156
2023/5/11,121.1156,121.1156
2023/5/12,120.635,120.1544
2023/5/15,119.6738,120.635
2023/5/16,120.1544,121.1156
2023/5/17,120.635,122.0768
