年月日,開盤價(元),收盤價(元)
2018/1/2,6.5732,7.0266
2018/1/3,7.0266,6.8849
2018/1/4,6.8849,6.8849
2018/1/5,6.9699,6.9699
2018/1/8,6.9982,6.9982
2018/1/9,6.9699,6.9132
2018/1/10,6.9132,6.7999
2018/1/11,6.7999,6.7432
2018/1/12,6.7999,6.7999
2018/1/15,6.8566,6.7999
2018/1/16,6.8282,6.7716
2018/1/17,6.7716,6.7432
2018/1/18,6.7999,6.7432
2018/1/19,6.7432,6.6866
2018/1/22,6.7149,6.6582
2018/1/23,6.6582,6.5732
2018/1/24,6.6016,6.7432
2018/1/25,6.7432,6.6299
2018/1/26,6.6299,6.6299
2018/1/29,6.6866,6.6299
2018/1/30,6.6299,6.5732
2018/1/31,6.5732,6.5732
2018/2/1,6.5732,6.6016
2018/2/2,6.6016,6.5449
2018/2/5,6.4599,6.4599
2018/2/6,6.3466,6.0066
2018/2/7,6.1766,5.9783
2018/2/8,5.9783,5.7799
2018/2/9,5.3833,5.5533
2018/2/12,5.6099,5.5646
2018/2/21,5.6666,5.7516
2018/2/22,5.7233,5.7516
2018/2/23,5.8083,5.7516
2018/2/26,5.7799,5.7516
2018/2/27,5.8649,5.8933
2018/3/1,5.8933,6.4032
2018/3/2,6.3466,6.2616
2018/3/5,6.2899,6.1766
2018/3/6,6.2332,6.0633
2018/3/7,6.0633,6.0066
2018/3/8,6.0349,6.0349
2018/3/9,6.0916,6.1766
2018/3/12,6.2332,6.3466
2018/3/13,6.3466,6.2616
2018/3/14,6.2616,6.2049
2018/3/15,6.2049,6.1483
2018/3/16,6.2049,6.1199
2018/3/19,6.1483,6.2049
2018/3/20,6.2049,6.1766
2018/3/21,6.1766,6.1199
2018/3/22,6.1483,6.0633
2018/3/23,5.8083,5.8933
2018/3/26,5.9216,5.8649
2018/3/27,6.0066,5.9216
2018/3/28,5.9783,5.8933
2018/3/29,5.8933,5.8933
2018/3/30,5.9216,5.9216
2018/3/31,5.9216,5.9783
2018/4/2,5.9783,5.8933
2018/4/3,5.8649,5.8933
2018/4/9,5.8933,5.8649
2018/4/10,5.8649,5.8649
2018/4/11,5.8933,5.8649
2018/4/12,5.8933,5.8649
2018/4/13,5.8933,6.0066
2018/4/16,6.0349,5.9783
2018/4/17,5.9783,5.8649
2018/4/18,5.8933,5.8649
2018/4/19,5.8933,5.9216
2018/4/20,5.9216,5.8649
2018/4/23,5.8649,5.7799
2018/4/24,5.8083,5.7233
2018/4/25,5.6949,5.6949
2018/4/26,5.7233,5.6949
2018/4/27,5.7516,5.6949
2018/4/30,5.7516,5.8366
2018/5/2,5.8649,5.8366
2018/5/3,5.8366,5.8933
2018/5/4,5.8933,5.8649
2018/5/7,5.8933,5.8933
2018/5/8,5.8933,5.8933
2018/5/9,5.9216,5.8649
2018/5/10,5.9216,5.8649
2018/5/11,5.8933,5.8366
2018/5/14,5.6666,5.4456
2018/5/15,5.4513,5.4513
2018/5/16,5.4513,5.3833
2018/5/17,5.3833,5.2643
2018/5/18,5.2586,5.1963
2018/5/21,5.2076,5.2076
2018/5/22,5.2643,5.3379
2018/5/23,5.3266,5.3323
2018/5/24,5.3153,5.3096
2018/5/25,5.2983,5.3153
2018/5/28,5.3153,5.5249
2018/5/29,5.4966,5.3719
2018/5/30,5.3776,5.3379
2018/5/31,5.3436,5.3776
2018/6/1,5.3606,5.3776
2018/6/4,5.3663,5.3379
2018/6/5,5.3436,5.3379
2018/6/6,5.3549,5.3549
2018/6/7,5.3606,5.4739
2018/6/8,5.4739,5.4399
2018/6/11,5.4399,5.4456
2018/6/12,5.4456,5.5986
2018/6/13,5.5986,5.5476
2018/6/14,5.6099,5.6043
2018/6/15,5.6326,5.5306
2018/6/19,5.4909,5.5419
2018/6/20,5.5533,5.4909
2018/6/21,5.4909,5.4116
2018/6/22,5.4116,5.3663
2018/6/25,5.3719,5.2869
2018/6/26,5.2586,5.2246
2018/6/27,5.2189,5.0886
2018/6/28,5.0149,4.9866
2018/6/29,5.0036,5.0999
2018/7/2,5.1339,5.1566
2018/7/3,5.1509,5.0433
2018/7/4,5.0319,5.0433
2018/7/5,5.1283,4.9809
2018/7/6,4.9866,4.9469
2018/7/9,5.0319,4.9753
2018/7/10,4.9866,5.0603
2018/7/11,5.0319,5.0829
2018/7/12,5.0886,5.0659
2018/7/13,5.0943,5.0829
2018/7/16,5.0999,5.0829
2018/7/17,5.0829,5.1056
2018/7/18,5.1056,5.1283
