年月日,開盤價(元),收盤價(元)
2018/1/2,7.1212,7.1212
2018/1/3,7.1567,7.1212
2018/1/4,7.1921,7.1921
2018/1/5,7.1921,7.1921
2018/1/8,7.1921,7.1567
2018/1/9,7.1921,7.3338
2018/1/10,7.3692,7.4047
2018/1/11,7.4401,7.2984
2018/1/12,7.3692,7.4401
2018/1/15,7.4401,7.4401
2018/1/16,7.4047,7.4047
2018/1/17,7.4047,7.3338
2018/1/18,7.3692,7.2984
2018/1/19,7.3338,7.2629
2018/1/22,7.2629,7.1921
2018/1/23,7.2275,7.1212
2018/1/24,7.1212,7.1567
2018/1/25,7.1567,7.1567
2018/1/26,7.1567,7.1567
2018/1/29,7.1921,7.0716
2018/1/30,7.0433,6.9866
2018/1/31,6.9583,6.9016
2018/2/1,6.9157,6.8874
2018/2/2,6.8874,6.8874
2018/2/5,6.7386,6.7457
2018/2/6,6.604,6.3772
2018/2/7,6.4906,6.4481
2018/2/8,6.4552,6.4835
2018/2/9,6.2922,6.356
2018/2/12,6.4481,6.4127
2018/2/21,6.6111,6.6394
2018/2/22,6.6252,6.6748
2018/2/23,6.6748,6.7103
2018/2/26,6.7386,6.7103
2018/2/27,6.7315,6.6819
2018/3/1,6.6748,6.7386
2018/3/2,6.7103,6.7032
2018/3/5,6.7173,6.5473
2018/3/6,6.6252,6.6111
2018/3/7,6.6111,6.5756
2018/3/8,6.5898,6.6607
2018/3/9,6.6607,6.7103
2018/3/12,6.7528,6.774
2018/3/13,6.7599,6.8024
2018/3/14,6.7173,6.7669
2018/3/15,6.7386,6.7315
2018/3/16,6.7669,6.7315
2018/3/19,6.7457,6.7599
2018/3/20,6.7315,6.7315
2018/3/21,6.7315,6.7032
2018/3/22,6.7173,6.7457
2018/3/23,6.6607,6.604
2018/3/26,6.5898,6.5898
2018/3/27,6.6748,6.7599
2018/3/28,6.7244,6.8165
2018/3/29,6.8378,6.8095
2018/3/30,6.8236,6.8236
2018/3/31,6.8378,6.852
2018/4/2,6.9157,7.0149
2018/4/3,7.0504,6.9937
2018/4/9,6.9937,7.0787
2018/4/10,7.0787,7.0291
2018/4/11,7.1212,7.0716
2018/4/12,7.0858,7.0645
2018/4/13,7.0645,7.0645
2018/4/16,7.0858,7.0787
2018/4/17,7.0787,6.9724
2018/4/18,7.0079,7.0008
2018/4/19,7.022,7.1212
2018/4/20,7.0858,7.0858
2018/4/23,7.0858,7.0504
2018/4/24,7.0504,7.0433
2018/4/25,6.9795,6.9866
2018/4/26,7.1212,7.1212
2018/4/27,7.2275,7.1567
2018/4/30,7.2275,7.2275
2018/5/2,7.2984,7.2275
2018/5/3,7.1921,7.1567
2018/5/4,7.1567,7.1212
2018/5/7,7.1921,7.2275
2018/5/8,7.2275,7.2275
2018/5/9,7.2275,7.2275
2018/5/10,7.2275,7.1921
2018/5/11,7.2275,7.1212
2018/5/14,7.1921,7.1212
2018/5/15,7.1567,7.0858
2018/5/16,7.0858,7.2275
2018/5/17,7.2629,7.2629
2018/5/18,7.2629,7.2984
2018/5/21,7.4047,7.3692
2018/5/22,7.3692,7.3692
2018/5/23,7.3692,7.4047
2018/5/24,7.4047,7.3692
2018/5/25,7.3692,7.4047
2018/5/28,7.4401,7.4401
2018/5/29,7.4401,7.4401
2018/5/30,7.4401,7.5818
2018/5/31,7.6172,7.7235
2018/6/1,7.759,8.0424
2018/6/4,8.1487,8.1841
2018/6/5,8.1487,8.1487
2018/6/6,8.1487,8.4675
2018/6/7,8.5738,8.4675
2018/6/8,8.503,8.751
2018/6/11,8.8218,8.6093
2018/6/12,8.6801,8.6801
2018/6/13,8.7155,8.6093
2018/6/14,8.6093,8.5384
2018/6/15,8.4675,8.6801
2018/6/19,8.6093,8.5738
2018/6/20,8.5384,8.5384
2018/6/21,8.6093,8.6801
2018/6/22,8.7155,8.6093
2018/6/25,8.6447,8.503
2018/6/26,8.3612,8.5384
2018/6/27,8.6093,8.4675
2018/6/28,8.4675,8.2904
2018/6/29,8.2904,8.3258
2018/7/2,8.3612,8.3967
2018/7/3,8.3967,8.4321
2018/7/4,8.3612,8.4675
2018/7/5,8.4321,8.3967
2018/7/6,8.3967,8.4321
2018/7/9,8.4675,8.6447
2018/7/10,8.6801,8.751
2018/7/11,8.7864,8.7864
2018/7/12,8.8218,8.8573
2018/7/13,8.8573,8.8573
2018/7/16,8.8927,8.7864
2018/7/17,8.7864,8.7155
2018/7/18,8.7155,8.999
2018/7/19,9.1053,9.3178
2018/7/20,9.3178,9.5658
2018/7/23,9.6367,9.2824
2018/7/24,9.3178,9.4595
2018/7/25,9.4595,9.495
2018/7/26,9.5304,9.4595
2018/7/27,9.4595,9.3887
2018/7/30,9.3887,9.1761
2018/7/31,9.2115,9.3887
2018/8/1,9.3887,9.4241
2018/8/2,9.4241,9.4595
2018/8/3,9.495,9.4595
2018/8/6,9.4241,9.6013
2018/8/7,9.6367,9.7784
2018/8/8,9.7784,9.6367
2018/8/9,9.6367,9.6367
2018/8/10,9.6367,9.6721
2018/8/13,9.6721,9.3887
2018/8/14,9.4595,9.8493
2018/8/15,9.8493,9.991
2018/8/16,9.9556,9.6721
2018/8/17,9.743,9.3533
2018/8/20,9.4241,9.4241
2018/8/21,9.4241,9.6367
2018/8/22,9.6721,9.4241
2018/8/23,9.495,9.8138
2018/8/24,9.9201,9.7076
2018/8/27,9.8138,10.0264
2018/8/28,10.357,9.8795
2018/8/29,9.9162,9.8061
2018/8/30,9.8795,9.9162
2018/8/31,9.9162,10.0264
2018/9/3,10.0264,9.8795
2018/9/4,9.8795,9.8428
2018/9/5,9.8428,9.7693
2018/9/6,9.8061,9.8061
2018/9/7,9.8061,9.549
2018/9/10,9.5122,8.9981
2018/9/11,9.0348,9.1817
2018/9/12,9.1817,9.0348
2018/9/13,9.1082,9.145
2018/9/14,9.1817,9.2184
2018/9/17,9.1817,9.0715
2018/9/18,9.0348,8.9246
2018/9/19,8.9613,9.0715
2018/9/20,8.9246,8.9613
2018/9/21,9.0348,9.1817
2018/9/25,9.1082,9.2184
2018/9/26,9.1817,9.2184
2018/9/27,9.2552,9.1817
2018/9/28,9.2184,9.2184
2018/10/1,9.2552,9.3286
2018/10/2,9.3286,9.1817
2018/10/3,9.1817,9.0348
2018/10/4,9.0715,9.0348
2018/10/5,8.8879,8.8144
2018/10/8,8.7777,8.9246
2018/10/9,8.9246,8.7043
2018/10/11,8.2635,8.0064
2018/10/12,7.9697,8.2635
2018/10/15,8.3003,8.3737
2018/10/16,8.3003,8.4472
2018/10/17,8.5206,8.1901
2018/10/18,8.3003,8.2635
2018/10/19,8.1901,8.0064
2018/10/22,8.0432,8.0799
2018/10/23,8.0799,7.8595
2018/10/24,7.933,7.8228
2018/10/25,7.6024,7.6024
2018/10/26,7.6392,7.4188
2018/10/29,7.4923,7.5657
2018/10/30,7.6024,7.5657
2018/10/31,7.6392,7.6759
2018/11/1,7.6024,7.6392
2018/11/2,7.6759,7.8963
2018/11/5,7.7494,7.7126
2018/11/6,7.7494,7.8228
