年月日,開盤價(元),收盤價(元)
2022/1/3,964.3097,920.2956
2022/1/4,932.2994,932.2994
2022/1/5,936.3007,940.302
2022/1/6,920.2956,908.2917
2022/1/7,904.2904,880.2827
2022/1/10,864.2776,876.2814
2022/1/11,872.2801,864.2776
2022/1/12,876.2814,868.2788
2022/1/13,872.2801,880.2827
2022/1/14,872.2801,852.2737
2022/1/17,860.2763,892.2866
2022/1/18,888.2853,884.284
2022/1/19,876.2814,880.2827
2022/1/20,884.284,872.2801
2022/1/21,848.2724,856.275
2022/1/24,848.2724,872.2801
2022/1/25,864.2776,868.2788
2022/1/26,856.275,860.2763
2022/2/7,904.2904,880.2827
2022/2/8,900.2891,876.2814
2022/2/9,900.2891,904.2904
2022/2/10,912.293,928.2981
2022/2/11,920.2956,920.2956
2022/2/14,896.2878,884.284
2022/2/15,888.2853,880.2827
2022/2/16,904.2904,904.2904
2022/2/17,904.2904,904.2904
2022/2/18,892.2866,896.2878
2022/2/21,892.2866,904.2904
2022/2/22,892.2866,888.2853
2022/2/23,888.2853,896.2878
2022/2/24,876.2814,848.2724
2022/2/25,860.2763,868.2788
2022/3/1,884.284,880.2827
2022/3/2,884.284,864.2776
2022/3/3,868.2788,864.2776
2022/3/4,848.2724,820.2634
2022/3/7,788.2531,777.8498
2022/3/8,756.2429,770.6475
2022/3/9,777.0495,773.0483
2022/3/10,792.2544,796.2557
2022/3/11,800.257,770.6475
2022/3/14,778.6501,755.4426
2022/3/15,746.6398,723.4323
2022/3/16,744.239,725.8331
2022/3/17,761.0444,774.6488
2022/3/18,777.0495,775.449
2022/3/21,788.2531,782.6513
2022/3/22,777.0495,780.2506
2022/3/23,790.6539,781.8511
2022/3/24,782.6513,777.8498
2022/3/25,780.2506,777.0495
2022/3/28,760.2442,771.4477
2022/3/29,745.0393,729.8344
2022/3/30,729.8344,732.2352
2022/3/31,720.2313,724.2326
2022/4/1,720.2313,720.2313
2022/4/6,686.6205,705.8267
2022/4/7,686.6205,680.2185
2022/4/8,681.0187,672.2159
2022/4/11,671.4156,669.0149
2022/4/12,672.2159,673.8164
2022/4/13,679.4182,704.2262
2022/4/14,699.4246,689.0213
2022/4/15,681.0187,665.8138
2022/4/18,661.8125,666.6141
2022/4/19,684.2197,670.6154
2022/4/20,677.8177,685.02
2022/4/21,683.4195,694.6231
2022/4/22,678.6179,683.4195
2022/4/25,666.6141,669.8151
2022/4/26,666.6141,666.6141
2022/4/27,645.0066,646.6071
2022/4/28,668.2141,662.6123
2022/4/29,680.2179,664.2128
2022/5/3,664.2128,656.2102
2022/5/4,663.4125,663.4125
2022/5/5,674.6161,673.0156
2022/5/6,647.4074,667.4138
2022/5/9,657.0105,650.6084
2022/5/10,641.0053,656.2102
2022/5/11,651.4087,663.4125
2022/5/12,662.6123,656.2102
2022/5/13,665.013,674.6161
2022/5/16,679.4177,660.2115
2022/5/17,670.6148,673.0156
2022/5/18,683.4189,684.2192
2022/5/19,671.4151,676.2166
2022/5/20,673.0156,677.0169
2022/5/23,683.4189,674.6161
2022/5/24,678.6174,664.2128
2022/5/25,666.6136,674.6161
2022/5/26,679.4177,666.6136
2022/5/27,673.8159,681.0182
2022/5/30,692.2218,702.6251
2022/5/31,701.0246,724.232
2022/6/1,722.6315,724.232
2022/6/2,719.4305,718.6302
2022/6/6,717.0297,724.232
2022/6/7,720.2307,712.2282
2022/6/8,722.6315,744.2384
2022/6/9,741.8377,739.4369
2022/6/10,732.2346,744.2384
2022/6/13,721.8312,709.8274
2022/6/14,696.223,704.2256
2022/6/15,704.2256,707.4266
2022/6/16,725.0323,698.6238
