年月日,開盤價(元),收盤價(元)
2018/1/2,18.2321,18.1031
2018/1/3,18.1031,17.9311
2018/1/4,18.0601,18.0601
2018/1/5,18.1891,18.1031
2018/1/8,18.1031,18.8341
2018/1/9,18.8341,19.6081
2018/1/10,19.6081,19.5651
2018/1/11,19.5221,19.3501
2018/1/12,19.4361,19.4361
2018/1/15,19.5651,19.1781
2018/1/16,19.4361,19.0061
2018/1/17,19.1351,19.1351
2018/1/18,19.3071,19.1781
2018/1/19,19.1781,19.5651
2018/1/22,19.6941,21.1991
2018/1/23,21.5001,21.3281
2018/1/24,21.1131,20.6401
2018/1/25,20.6401,20.5971
2018/1/26,20.6401,20.4251
2018/1/29,20.5541,20.2101
2018/1/30,20.2101,20.2961
2018/1/31,20.1241,20.2101
2018/2/1,20.2961,20.4681
2018/2/2,20.4681,20.3391
2018/2/5,19.9091,19.9521
2018/2/6,19.5221,18.5331
2018/2/7,19.0061,18.4041
2018/2/8,18.4041,18.6191
2018/2/9,17.3721,18.7051
2018/2/12,18.7051,18.5331
2018/2/21,18.9631,19.0921
2018/2/22,18.9201,19.1351
2018/2/23,19.2641,19.2641
2018/2/26,19.3931,19.5221
2018/2/27,19.4361,19.3071
2018/3/1,19.1781,19.2211
2018/3/2,19.1351,19.3931
2018/3/5,19.3931,19.3501
2018/3/6,19.3501,19.3931
2018/3/7,19.3931,19.9521
2018/3/8,20.0811,20.1671
2018/3/9,20.2101,19.9951
2018/3/12,19.9951,20.1241
2018/3/13,20.1241,19.9091
2018/3/14,19.9091,20.0381
2018/3/15,20.1241,20.2101
2018/3/16,20.2961,19.9521
2018/3/19,19.9951,19.6081
2018/3/20,19.5651,19.3071
2018/3/21,19.3501,19.5221
2018/3/22,19.6511,19.6511
2018/3/23,19.5651,19.6081
2018/3/26,19.6081,20.4251
2018/3/27,20.5971,20.0811
2018/3/28,20.0381,20.2101
2018/3/29,20.6401,20.8121
2018/3/30,20.8121,20.8121
2018/3/31,20.8981,21.0271
2018/4/2,21.1561,20.7691
2018/4/3,20.6401,20.6831
2018/4/9,20.7691,20.8551
2018/4/10,20.8551,20.6401
2018/4/11,20.7691,21.2851
2018/4/12,21.3711,20.8981
2018/4/13,21.0701,20.7261
2018/4/16,20.6831,20.4681
2018/4/17,20.4681,20.2961
2018/4/18,20.5111,20.2531
2018/4/19,20.3391,20.7261
2018/4/20,20.7691,20.7261
2018/4/23,20.8551,20.9841
2018/4/24,20.9841,20.4251
2018/4/25,20.4681,20.5541
2018/4/26,20.6401,19.9521
2018/4/27,20.1241,19.9091
2018/4/30,19.8661,20.2531
2018/5/2,20.2961,20.2961
2018/5/3,20.2101,20.2961
2018/5/4,20.3391,20.0811
2018/5/7,20.1241,19.8661
2018/5/8,20.1241,19.6081
2018/5/9,19.6081,19.6941
2018/5/10,19.7371,19.5651
2018/5/11,19.5651,19.3931
2018/5/14,19.5221,18.8771
2018/5/15,19.0061,19.2211
2018/5/16,19.4361,19.1351
2018/5/17,19.3501,19.8231
2018/5/18,19.8231,19.6081
2018/5/21,19.8231,20.2531
2018/5/22,20.3821,20.2101
2018/5/23,20.2101,19.9951
2018/5/24,19.9951,20.0811
2018/5/25,20.0811,20.0381
2018/5/28,20.1671,20.1671
2018/5/29,20.7261,20.5541
2018/5/30,20.4681,20.5971
2018/5/31,20.8121,20.5541
2018/6/1,20.4681,20.4681
2018/6/4,20.5971,20.5971
2018/6/5,20.7261,20.7261
2018/6/6,20.8551,21.1991
2018/6/7,21.2421,20.9841
2018/6/8,21.0271,21.0701
2018/6/11,21.1561,21.1131
2018/6/12,21.1991,20.6401
2018/6/13,20.6831,20.4681
2018/6/14,20.5541,20.5971
2018/6/15,20.6401,20.9841
2018/6/19,20.9841,20.5971
2018/6/20,20.5541,20.2531
2018/6/21,20.5541,20.2101
2018/6/22,20.2531,20.2101
2018/6/25,20.2531,20.2531
2018/6/26,20.2961,20.0811
2018/6/27,20.5111,20.4681
2018/6/28,20.5971,20.5541
2018/6/29,20.5541,20.7261
2018/7/2,20.8551,20.6401
2018/7/3,21.5001,20.8121
2018/7/4,20.7691,20.5971
2018/7/5,20.6401,20.1671
2018/7/6,20.1671,20.2961
2018/7/9,20.2961,20.5971
2018/7/10,20.5971,20.5111
2018/7/11,20.4681,20.5111
2018/7/12,20.4251,20.4251
2018/7/13,20.4251,20.3391
2018/7/16,20.3821,20.2961
2018/7/17,20.2961,20.1671
2018/7/18,20.2961,20.3821
2018/7/19,20.4681,20.5971
2018/7/20,20.6401,20.5111
2018/7/23,20.5111,20.4681
2018/7/24,20.5541,20.6831
2018/7/25,20.8981,20.6401
2018/7/26,20.8121,20.6831
2018/7/27,20.8121,20.5541
2018/7/30,20.5111,20.3821
2018/7/31,20.3821,20.5541
2018/8/1,20.6831,20.7691
2018/8/2,20.8981,20.6831
2018/8/3,20.8551,20.5971
2018/8/6,20.7691,20.8121
2018/8/7,20.8981,20.6831
2018/8/8,20.7691,20.6401
2018/8/9,20.6831,20.6401
2018/8/10,20.6831,20.6831
2018/8/13,20.6831,20.2531
2018/8/14,20.2961,19.8661
2018/8/15,19.8661,19.6081
2018/8/16,19.6081,19.3931
2018/8/17,19.6081,19.5221
2018/8/20,19.5221,19.3071
2018/8/21,19.4791,19.4791
2018/8/22,19.6081,19.6081
2018/8/23,19.6081,19.5221
2018/8/24,19.5221,19.6511
2018/8/27,19.6941,19.6941
2018/8/28,19.7371,19.8661
2018/8/29,19.9091,19.6941
2018/8/30,19.6941,19.5221
2018/8/31,19.5221,19.3501
2018/9/3,19.3501,19.1781
2018/9/4,19.0921,19.1781
2018/9/5,19.0921,19.2641
2018/9/6,19.3501,19.2211
2018/9/7,19.3501,19.0921
2018/9/10,19.2641,19.1781
2018/9/11,19.1781,19.3501
2018/9/12,19.3501,19.2211
2018/9/13,19.2211,19.2211
2018/9/14,19.2641,19.2641
2018/9/17,19.2641,19.2211
2018/9/18,19.1781,19.2641
2018/9/19,19.1781,19.4791
2018/9/20,19.5651,19.4361
2018/9/21,19.5651,19.4361
2018/9/25,19.4361,19.3501
2018/9/26,19.4361,19.3931
2018/9/27,19.3931,19.3071
2018/9/28,19.2641,19.2211
2018/10/1,19.2211,19.2641
2018/10/2,19.1781,19.0061
2018/10/3,18.9201,18.7051
2018/10/4,18.7051,18.4901
2018/10/5,18.4471,18.1031
2018/10/8,18.0601,17.9311
2018/10/9,17.9311,17.9741
2018/10/11,17.4581,16.8561
2018/10/12,16.6841,17.1141
2018/10/15,17.1571,16.6841
2018/10/16,16.7701,16.8131
2018/10/17,16.9421,17.2001
2018/10/18,17.2001,16.9421
2018/10/19,16.8131,16.5981
2018/10/22,16.5121,16.5551
2018/10/23,16.5981,16.5551
2018/10/24,16.4261,16.2971
2018/10/25,15.9961,15.9531
2018/10/26,16.0821,15.9961
2018/10/29,15.9961,15.9101
2018/10/30,15.8671,15.9961
2018/10/31,16.0821,16.3831
2018/11/1,16.4691,16.2971
2018/11/2,16.2971,16.5121
2018/11/5,16.5121,16.6411
2018/11/6,16.6841,16.7701
2018/11/7,16.8561,17.3721
2018/11/8,17.5441,17.5871
2018/11/9,17.7161,17.8881
2018/11/12,17.8021,17.8881
2018/11/13,18.9201,18.2321
2018/11/14,18.3181,18.1891
2018/11/15,18.1461,18.1461
2018/11/16,18.1461,18.1461
2018/11/19,18.1891,18.1461
2018/11/20,18.1031,18.0601
2018/11/21,18.0601,17.8881
2018/11/22,18.1891,17.9741
2018/11/23,17.9741,18.0601
2018/11/26,18.2751,18.1891
2018/11/27,18.2321,18.5331
2018/11/28,18.0601,18.4041
2018/11/29,18.4901,18.4471
2018/11/30,18.4041,18.7481
2018/12/3,18.8771,18.9631
2018/12/4,18.9201,19.7371
2018/12/5,19.6081,19.5221
2018/12/6,19.5221,19.1351
2018/12/7,19.1781,19.1351
2018/12/10,19.1781,19.0061
2018/12/11,19.0061,18.8771
2018/12/12,18.9201,19.6081
2018/12/13,19.6941,19.9521
2018/12/14,19.9951,20.2961
2018/12/17,20.3391,19.9521
2018/12/18,19.8661,20.0381
2018/12/19,20.0381,20.0811
2018/12/20,20.0811,19.8661
2018/12/21,19.8661,19.6941
2018/12/22,19.5651,19.5651
2018/12/24,19.5651,19.5221
2018/12/25,19.3931,19.0491
2018/12/26,19.1781,18.7911
2018/12/27,19.0491,18.9201
2018/12/28,18.9201,19.1351
2019/1/2,19.3071,18.9201
2019/1/3,18.9201,18.9631
2019/1/4,18.8341,18.8771
2019/1/7,19.0921,19.4791
2019/1/8,19.7801,19.1351
2019/1/9,19.1781,19.3931
2019/1/10,19.3931,19.1781
2019/1/11,19.3931,19.1351
2019/1/14,19.2641,18.9201
2019/1/15,19.0061,19.2211
2019/1/16,18.9631,18.9631
2019/1/17,19.1781,19.3501
2019/1/18,19.4361,19.3931
2019/1/21,19.3931,19.3931
2019/1/22,19.4361,19.4361
2019/1/23,19.3501,19.4361
2019/1/24,19.3071,19.3071
2019/1/25,19.2641,19.2211
2019/1/28,19.2211,19.3501
2019/1/29,19.3501,19.3071
2019/1/30,18.7481,18.1891
2019/2/11,18.2751,18.1461
2019/2/12,18.1461,18.2751
2019/2/13,18.3181,18.1891
2019/2/14,18.2751,18.2751
2019/2/15,18.2751,18.2751
2019/2/18,18.4901,18.4041
2019/2/19,18.4041,18.5331
2019/2/20,18.5761,18.4471
2019/2/21,18.4901,18.6621
2019/2/22,18.6621,18.5331
2019/2/25,18.7051,18.9631
2019/2/26,19.0061,18.8341
2019/2/27,18.8341,18.8771
2019/3/4,18.8771,19.1781
2019/3/5,19.1781,19.4361
2019/3/6,19.5221,19.6081
2019/3/7,19.6081,19.4361
2019/3/8,19.4791,19.6941
2019/3/11,19.7371,19.7371
2019/3/12,19.7801,19.9521
2019/3/13,19.9951,20.4251
2019/3/14,20.4251,20.5541
2019/3/15,20.5971,20.2101
2019/3/18,20.2101,20.2101
2019/3/19,20.3821,20.1241
2019/3/20,20.1241,20.2531
2019/3/21,20.3821,20.0381
2019/3/22,20.0811,20.6401
2019/3/25,20.4251,20.8121
2019/3/26,20.8121,21.3711
2019/3/27,21.3711,21.2851
2019/3/28,21.2851,20.3821
2019/3/29,20.5111,20.8551
2019/4/1,20.8551,20.7691
2019/4/2,20.7691,20.4251
2019/4/3,20.4251,20.5971
2019/4/8,20.5971,20.3821
2019/4/9,20.3821,20.2101
2019/4/10,20.1671,20.2101
2019/4/11,20.2101,19.9091
2019/4/12,20.1241,19.9091
2019/4/15,19.9521,20.3821
2019/4/16,20.3821,20.2101
2019/4/17,20.3821,20.7691
2019/4/18,20.9841,20.5541
2019/4/19,20.5541,20.6831
2019/4/22,20.8121,20.4251
2019/4/23,21.5861,22.4461
2019/4/24,22.7041,21.7151
2019/4/25,21.7151,23.4781
2019/4/26,23.1771,23.4781
2019/4/29,23.9941,23.6071
2019/4/30,23.6071,23.2631
2019/5/2,23.2201,23.2201
2019/5/3,23.4351,23.9941
2019/5/6,23.7791,24.1661
2019/5/7,24.2091,24.1661
2019/5/8,23.8651,23.9941
2019/5/9,24.3381,24.0801
2019/5/10,24.3811,24.0371
2019/5/13,24.0371,24.0801
2019/5/14,23.9081,24.5531
2019/5/15,24.5101,24.0371
2019/5/16,24.0371,23.3921
2019/5/17,23.6501,23.6931
2019/5/20,23.6931,23.3061
2019/5/21,23.4351,23.3491
2019/5/22,23.4351,23.7361
2019/5/23,23.6931,23.5641
2019/5/24,23.6501,23.8221
2019/5/27,23.9081,24.2951
2019/5/28,24.4671,24.4671
2019/5/29,24.3811,24.8541
2019/5/30,25.1121,25.0261
2019/5/31,24.9831,25.0261
2019/6/3,25.1981,24.9831
2019/6/4,24.8541,24.7251
2019/6/5,24.8541,25.0261
2019/6/6,24.9831,25.1981
2019/6/10,25.2841,26.0581
2019/6/11,26.1011,26.2731
2019/6/12,26.2731,26.3591
2019/6/13,26.3591,27.2621
2019/6/14,27.2621,26.4881
2019/6/17,26.8321,27.4341
2019/6/18,28.0791,28.2511
2019/6/19,28.3801,28.2081
2019/6/20,28.0791,27.6921
2019/6/21,27.6921,28.2511
2019/6/24,28.2511,29.5842
2019/6/25,29.3262,30.7882
2019/6/26,30.7882,30.8742
2019/6/27,30.8742,30.0572
2019/6/28,29.8852,28.2081
2019/7/1,28.6381,28.2941
2019/7/2,28.2511,28.5091
2019/7/3,28.4231,28.2941
2019/7/4,28.1651,28.2081
2019/7/5,28.2511,28.4231
2019/7/8,28.2941,26.9611
2019/7/9,27.0041,28.1651
2019/7/10,28.2511,29.3692
2019/7/11,29.0681,28.7671
2019/7/12,28.5951,28.5091
2019/7/15,28.4231,28.5951
2019/7/16,28.3801,28.2081
2019/7/17,27.9501,27.6061
2019/7/18,27.3051,27.2621
2019/7/19,27.2191,27.3481
2019/7/22,27.3481,27.3051
2019/7/23,27.2621,26.2731
2019/7/24,26.4881,25.8001
2019/7/25,26.1441,25.8861
2019/7/26,25.8861,26.6171
2019/7/29,26.6601,26.3591
2019/7/30,26.5799,26.5358
2019/7/31,26.5799,26.4475
2019/8/1,26.2267,25.9618
2019/8/2,25.741,25.2553
2019/8/5,25.3436,25.6086
2019/8/6,24.858,25.3878
2019/8/7,25.3878,25.0346
2019/8/8,25.167,25.4319
2019/8/12,25.3436,25.2112
2019/8/13,24.7697,23.7541
2019/8/14,24.1074,23.4009
2019/8/15,22.8269,23.5334
2019/8/16,23.8866,24.284
2019/8/19,24.1074,23.9308
2019/8/20,24.0191,23.9308
2019/8/21,23.8866,23.6658
2019/8/22,23.6217,23.7541
2019/8/23,23.7541,23.3568
2019/8/26,22.9594,22.8711
2019/8/27,23.1802,23.4892
2019/8/28,23.4009,23.2243
2019/8/29,23.2685,22.9594
2019/8/30,23.2243,23.0035
2019/9/2,23.0919,23.2243
2019/9/3,23.3126,23.2243
2019/9/4,23.1802,23.5334
2019/9/5,23.6217,23.3568
2019/9/6,23.4009,23.9308
2019/9/9,23.8866,23.0919
2019/9/10,23.3126,22.9152
2019/9/11,23.136,23.2685
2019/9/12,23.4451,23.4009
2019/9/16,23.5334,23.6217
2019/9/17,23.71,23.4009
2019/9/18,23.6217,23.4451
2019/9/19,23.5775,23.136
2019/9/20,23.136,23.2685
2019/9/23,23.4009,23.1802
2019/9/24,23.1802,23.0035
2019/9/25,22.9594,22.6503
2019/9/26,22.6945,22.6503
2019/9/27,22.6062,22.2971
2019/10/1,22.2971,22.253
2019/10/2,22.2088,22.1646
2019/10/3,22.1205,22.2088
2019/10/4,22.253,22.1205
2019/10/7,22.1646,22.1205
2019/10/8,22.1205,22.4737
2019/10/9,22.4296,22.7386
2019/10/14,22.7828,22.3413
2019/10/15,22.1646,22.1205
2019/10/16,22.1205,22.1646
2019/10/17,22.3413,23.3126
2019/10/18,23.136,23.0477
2019/10/21,23.136,23.4009
2019/10/22,23.4451,23.3126
2019/10/23,23.2685,23.136
2019/10/24,23.2685,23.136
2019/10/25,23.0477,22.9152
2019/10/28,22.9594,22.6945
2019/10/29,22.6945,22.6945
2019/10/30,22.7386,23.0919
2019/10/31,23.2243,23.3126
2019/11/1,23.3126,23.3568
2019/11/4,23.5775,23.3126
2019/11/5,23.3568,23.0035
2019/11/6,23.0035,23.0477
2019/11/7,22.9594,22.6062
2019/11/8,22.6062,22.5179
2019/11/11,22.5179,22.253
2019/11/12,22.2971,22.2088
2019/11/13,22.253,22.3413
2019/11/14,22.3413,21.5907
2019/11/15,21.5907,21.988
2019/11/18,22.1205,22.0763
2019/11/19,22.1205,22.1646
2019/11/20,22.253,22.4296
2019/11/21,22.4737,22.2971
2019/11/22,22.2971,21.9439
2019/11/25,21.988,22.1205
2019/11/26,22.1205,21.8556
2019/11/27,21.8997,21.8556
2019/11/28,21.9439,21.8556
2019/11/29,21.9439,21.7231
2019/12/2,21.8114,21.6348
2019/12/3,21.6348,21.5907
2019/12/4,21.5024,21.5907
2019/12/5,21.7231,21.8997
2019/12/6,22.0763,21.7673
2019/12/9,21.7673,21.5465
2019/12/10,21.5907,21.5024
2019/12/11,21.5024,21.414
2019/12/12,21.5465,21.414
2019/12/13,21.4582,21.414
2019/12/16,21.4582,21.5465
2019/12/17,21.5465,21.8114
2019/12/18,21.8556,21.7231
2019/12/19,21.7231,21.8114
2019/12/20,21.8114,21.7231
2019/12/23,21.7231,22.0322
2019/12/24,22.1646,22.2088
2019/12/25,22.2971,22.4296
2019/12/26,22.4296,22.253
2019/12/27,22.2088,22.1646
2019/12/30,22.253,22.3413
2019/12/31,22.3413,22.1205
2020/1/2,22.1646,22.2088
2020/1/3,22.2088,22.1646
2020/1/6,22.1646,21.9439
2020/1/7,21.8997,21.7231
2020/1/8,21.8556,21.414
2020/1/9,21.679,21.414
2020/1/10,21.414,21.6348
2020/1/13,21.5907,21.7231
2020/1/14,21.8556,21.5024
2020/1/15,21.5024,21.679
2020/1/16,21.679,21.7673
2020/1/17,21.8114,21.7231
2020/1/20,21.7231,21.6348
2020/1/30,19.8687,19.4713
2020/1/31,19.4713,19.383
2020/2/3,18.8973,18.2351
2020/2/4,18.2351,18.6324
2020/2/5,19.3389,18.809
2020/2/6,18.9415,19.2064
2020/2/7,19.2064,18.8532
2020/2/10,18.809,19.1181
2020/2/11,19.2064,19.1623
2020/2/12,19.1623,19.1623
2020/2/13,19.1623,19.2947
2020/2/14,19.3389,19.2506
2020/2/17,19.2947,20.2219
2020/2/18,20.3102,20.2219
2020/2/19,20.2219,20.1336
2020/2/20,20.1778,20.0453
2020/2/21,20.0895,19.8246
2020/2/24,19.6921,19.3389
2020/2/25,18.7649,19.1623
2020/2/26,18.9857,19.383
2020/2/27,19.5596,19.074
2020/3/2,18.8532,18.9857
2020/3/3,19.2947,19.383
2020/3/4,19.2064,19.0298
2020/3/5,19.2947,19.2506
2020/3/6,19.1623,19.074
2020/3/9,19.0298,18.1909
2020/3/10,17.7052,17.9701
2020/3/11,18.1468,17.926
2020/3/12,17.6611,17.1312
2020/3/13,15.895,16.4248
2020/3/16,16.4248,15.8067
2020/3/17,14.7911,15.1444
2020/3/18,15.321,15.0561
2020/3/19,14.9678,13.9522
2020/3/20,14.3055,15.0119
2020/3/23,14.9678,15.3651
2020/3/24,15.7184,15.5417
2020/3/25,15.9391,15.9391
2020/3/26,16.0716,15.8508
2020/3/27,16.1157,15.9391
2020/3/30,16.0716,16.0274
2020/3/31,16.5131,17.6169
2020/4/1,17.8377,17.6611
2020/4/6,17.6611,17.5728
2020/4/7,17.7052,17.7052
2020/4/8,17.8377,17.8377
2020/4/9,17.8818,17.6611
2020/4/10,17.7052,17.9701
2020/4/13,17.926,17.7494
2020/4/14,17.7494,18.0143
2020/4/15,18.1026,18.1026
2020/4/16,18.1026,18.2351
2020/4/17,18.3234,18.2351
2020/4/20,18.2351,19.074
2020/4/21,18.9857,18.1026
2020/4/22,17.926,18.3675
2020/4/23,18.4558,18.5441
2020/4/24,18.5441,18.3234
2020/4/27,18.5,18.5
2020/4/28,18.5441,18.5441
2020/4/29,18.6324,18.8532
2020/4/30,19.074,19.2947
2020/5/4,18.9857,18.8973
2020/5/5,18.9857,19.0298
2020/5/6,19.1181,18.8532
