年月日,開盤價(元),收盤價(元)
2018/1/2,182.9408,186.0183
2018/1/3,186.0183,186.7022
2018/1/4,188.412,185.3344
2018/1/5,185.6764,186.3603
2018/1/8,186.3603,187.3861
2018/1/9,186.7022,186.0183
2018/1/10,186.3603,184.6506
2018/1/11,179.5214,183.9667
2018/1/12,184.6506,184.3086
2018/1/15,184.6506,181.573
2018/1/16,181.573,181.915
2018/1/17,181.915,183.6247
2018/1/18,185.3344,182.9408
2018/1/19,182.9408,181.915
2018/1/22,181.2311,180.2053
2018/1/23,179.8633,181.573
2018/1/24,181.573,180.2053
2018/1/25,179.1794,182.5989
2018/1/26,182.5989,181.915
2018/1/29,181.915,181.573
2018/1/30,180.2053,180.2053
2018/1/31,179.1794,180.8892
2018/2/1,180.8892,179.8633
2018/2/2,179.8633,180.8892
2018/2/5,179.5214,181.915
2018/2/6,179.1794,171.6566
2018/2/7,173.0244,172.6825
2018/2/8,172.6825,173.3664
2018/2/9,170.2888,170.2888
2018/2/12,171.6566,170.9727
2018/2/21,170.9727,173.0244
2018/2/22,173.0244,173.7083
2018/2/23,176.4439,174.3922
2018/2/26,177.1278,175.76
2018/2/27,177.8116,177.1278
2018/3/1,174.3922,175.76
2018/3/2,175.76,176.4439
2018/3/5,175.0761,173.7083
2018/3/6,176.1019,173.7083
2018/3/7,175.76,173.0244
2018/3/8,173.0244,172.6825
2018/3/9,172.3405,173.3664
2018/3/12,172.6825,172.6825
2018/3/13,172.6825,172.3405
2018/3/14,172.3405,171.3147
2018/3/15,172.3405,171.6566
2018/3/16,171.6566,173.0244
2018/3/19,174.3922,173.0244
2018/3/20,173.0244,171.9986
2018/3/21,172.6825,172.3405
2018/3/22,171.6566,171.6566
2018/3/23,169.605,173.0244
2018/3/26,171.9986,171.6566
2018/3/27,176.4439,181.2311
2018/3/28,181.2311,181.2311
2018/3/29,181.2311,182.9408
2018/3/30,181.573,182.9408
2018/3/31,183.2828,182.5989
2018/4/2,183.2828,180.5472
2018/4/3,180.5472,181.915
2018/4/9,181.915,182.9408
2018/4/10,183.2828,182.5989
2018/4/11,182.5989,183.2828
2018/4/12,183.9667,180.8892
2018/4/13,181.915,181.573
2018/4/16,182.9408,179.8633
2018/4/17,179.8633,179.8633
2018/4/18,180.5472,179.1794
2018/4/19,179.8633,179.5214
2018/4/20,180.5472,180.5472
2018/4/23,180.2053,179.1794
2018/4/24,179.1794,176.4439
2018/4/25,173.0244,175.0761
2018/4/26,175.0761,174.0502
2018/4/27,174.3922,174.3922
2018/4/30,176.7858,175.0761
2018/5/2,175.0761,176.1019
2018/5/3,175.76,175.76
2018/5/4,175.76,175.76
2018/5/7,177.8116,177.8116
2018/5/8,179.1794,177.8116
2018/5/9,177.8116,177.8116
2018/5/10,178.4955,176.7858
2018/5/11,176.7858,177.1278
2018/5/14,179.5214,176.1019
2018/5/15,176.4439,171.9986
2018/5/16,172.3405,170.9727
2018/5/17,171.9986,172.6825
2018/5/18,172.6825,171.9986
2018/5/21,171.9986,172.6825
2018/5/22,172.3405,171.9986
2018/5/23,171.9986,171.3147
2018/5/24,171.3147,172.6825
2018/5/25,171.3147,172.3405
2018/5/28,172.6825,173.0244
2018/5/29,172.6825,173.0244
2018/5/30,173.0244,172.3405
2018/5/31,172.6825,173.0244
2018/6/1,171.6566,171.6566
2018/6/4,171.6566,173.0244
2018/6/5,173.7083,171.6566
2018/6/6,172.6825,171.6566
2018/6/7,171.6566,171.9986
2018/6/8,172.3405,171.9986
2018/6/11,171.9986,172.6825
2018/6/12,172.6825,173.7083
2018/6/13,173.7083,173.3664
2018/6/14,173.3664,172.6825
2018/6/15,173.0244,170.6308
2018/6/19,170.9727,170.9727
2018/6/20,185.3344,174.0502
2018/6/21,174.0502,174.0502
2018/6/22,174.0502,173.3664
2018/6/25,173.3664,172.3405
2018/6/26,172.3405,173.0244
2018/6/27,172.6825,173.3664
2018/6/28,172.6825,172.3405
2018/6/29,173.0244,172.6825
2018/7/2,172.6825,172.3405
2018/7/3,172.3405,172.6825
2018/7/4,173.0244,174.3922
2018/7/5,174.3922,172.6825
2018/7/6,173.0244,174.3922
2018/7/9,175.0761,174.0502
2018/7/10,174.0502,174.7341
2018/7/11,174.0502,172.3405
2018/7/12,173.7083,173.0244
2018/7/13,173.7083,176.4439
2018/7/16,179.5214,179.8633
2018/7/17,179.8633,178.4955
2018/7/18,179.1794,180.5472
2018/7/19,180.5472,179.1794
2018/7/20,178.8375,178.4955
2018/7/23,178.4955,176.4439
2018/7/24,176.4439,177.1278
2018/7/25,177.4697,177.1278
2018/7/26,178.4955,176.1019
2018/7/27,177.1278,176.7858
2018/7/30,176.7858,178.1536
2018/7/31,178.4955,178.4955
2018/8/1,179.1794,180.5472
2018/8/2,180.5472,179.8633
2018/8/3,179.8633,178.8375
2018/8/6,179.1794,178.8375
2018/8/7,179.5214,180.2053
2018/8/8,180.8892,181.573
2018/8/9,181.573,181.915
2018/8/10,181.915,181.915
2018/8/13,181.2311,180.8892
2018/8/14,179.8633,180.5472
2018/8/15,180.8892,180.2053
2018/8/16,180.2053,180.5472
2018/8/17,180.5472,181.2311
2018/8/20,180.5472,181.573
2018/8/21,181.573,182.3157
2018/8/22,182.687,182.3157
2018/8/23,182.687,182.687
2018/8/24,182.3157,183.8009
2018/8/27,183.8009,183.0583
2018/8/28,183.8009,182.687
2018/8/29,182.687,181.9443
2018/8/30,181.9443,181.2017
2018/8/31,180.4591,180.0878
2018/9/3,180.4591,180.0878
2018/9/4,180.4591,180.0878
2018/9/5,180.0878,178.6025
2018/9/6,177.4886,176.3746
2018/9/7,175.632,173.7754
2018/9/10,173.7754,174.1467
2018/9/11,173.7754,173.0328
