年月日,開盤價(元),收盤價(元)
2018/1/2,228.9682,239.3758
2018/1/3,240.7334,245.2584
2018/1/4,247.9735,251.5935
2018/1/5,251.5935,262.0011
2018/1/8,260.6436,254.3085
2018/1/9,256.1186,254.3085
2018/1/10,253.4035,237.5658
2018/1/11,238.0183,235.7558
2018/1/12,233.4933,237.5658
2018/1/15,238.0183,254.3085
2018/1/16,254.3085,265.1687
2018/1/17,260.6436,260.6436
2018/1/18,264.7162,268.7887
2018/1/19,274.6713,277.3864
2018/1/22,277.8389,304.9892
2018/1/23,318.1119,307.7043
2018/1/24,300.4642,324.8995
2018/1/25,324.8995,309.0618
2018/1/26,313.1344,325.8045
2018/1/29,328.5196,322.1845
2018/1/30,319.922,315.3969
2018/1/31,308.6093,325.352
2018/2/1,324.8995,311.7768
2018/2/2,311.7768,320.3745
2018/2/5,306.7993,308.6093
2018/2/6,278.2914,277.8389
2018/2/7,271.5038,266.9787
2018/2/8,263.8112,249.331
2018/2/9,231.2307,255.2136
2018/2/12,258.3811,244.3534
2018/2/21,261.5486,268.7887
2018/2/22,272.4088,287.794
2018/2/23,289.604,279.1964
2018/2/26,286.889,279.6489
2018/2/27,284.6265,280.5539
2018/3/1,276.0288,280.5539
2018/3/2,276.4813,284.174
2018/3/5,286.889,293.2241
2018/3/6,298.6542,295.9391
2018/3/7,296.3916,305.8943
2018/3/8,307.7043,303.6317
2018/3/9,304.0842,314.9444
2018/3/12,315.8494,290.0565
2018/3/13,293.6766,300.4642
2018/3/14,304.0842,293.2241
2018/3/15,294.1291,293.6766
2018/3/16,298.6542,291.4141
2018/3/19,291.4141,297.2966
2018/3/20,295.9391,291.4141
2018/3/21,296.8441,307.2518
2018/3/22,311.3243,304.0842
2018/3/23,295.0341,298.6542
2018/3/26,299.5592,292.7716
2018/3/27,299.5592,303.6317
2018/3/28,298.6542,294.5816
2018/3/29,296.3916,288.699
2018/3/30,290.0565,286.889
2018/3/31,289.604,287.794
2018/4/2,289.604,279.6489
2018/4/3,273.3138,282.8164
2018/4/9,282.3639,279.6489
2018/4/10,278.7439,280.5539
2018/4/11,285.079,276.9339
2018/4/12,276.9339,271.0513
2018/4/13,274.2188,285.079
2018/4/16,288.699,285.984
2018/4/17,287.794,270.5988
2018/4/18,271.0513,243.9009
2018/4/19,240.7334,235.7558
2018/4/20,230.7782,220.8231
2018/4/23,220.8231,221.2756
2018/4/24,225.3481,215.8455
2018/4/25,211.3204,218.108
2018/4/26,222.6331,218.108
2018/4/27,225.3481,233.4933
2018/4/30,231.2307,255.2136
2018/5/2,255.2136,243.9009
2018/5/3,244.3534,234.3983
2018/5/4,239.8283,243.9009
2018/5/7,247.9735,254.761
2018/5/8,252.4985,248.426
2018/5/9,248.8785,257.9286
2018/5/10,256.5711,253.4035
2018/5/11,255.6661,257.0236
