年月日,開盤價(元),收盤價(元)
2018/1/2,225.3455,226.9241
2018/1/3,227.7134,224.5562
2018/1/4,226.1348,225.3455
2018/1/5,226.1348,223.3723
2018/1/8,223.7669,226.5295
2018/1/9,226.5295,226.1348
2018/1/10,226.1348,223.3723
2018/1/11,223.3723,224.1616
2018/1/12,224.9509,224.5562
2018/1/15,226.5295,225.7402
2018/1/16,225.7402,224.9509
2018/1/17,224.1616,227.3188
2018/1/18,228.1081,229.6867
2018/1/19,229.6867,226.9241
2018/1/22,224.9509,226.5295
2018/1/23,226.5295,227.7134
2018/1/24,224.9509,226.5295
2018/1/25,226.5295,229.6867
2018/1/26,229.292,227.7134
2018/1/29,227.7134,230.0813
2018/1/30,229.6867,225.7402
2018/1/31,224.9509,227.7134
2018/2/1,225.7402,230.0813
2018/2/2,227.3188,229.6867
2018/2/5,224.9509,227.7134
2018/2/6,221.7937,218.2418
2018/2/7,223.3723,221.0044
2018/2/8,222.583,217.8472
2018/2/9,215.8739,215.4793
2018/2/12,215.8739,215.8739
2018/2/21,221.0044,221.399
2018/2/22,218.6365,222.583
2018/2/23,223.3723,226.5295
2018/2/26,248.6299,239.553
2018/2/27,240.7369,232.4493
2018/3/1,225.3455,232.4493
2018/3/2,231.2653,229.292
2018/3/5,230.476,227.3188
2018/3/6,230.476,226.9241
2018/3/7,226.5295,227.3188
2018/3/8,227.3188,226.5295
2018/3/9,227.3188,229.6867
2018/3/12,231.2653,231.2653
2018/3/13,231.2653,233.2386
2018/3/14,231.66,230.476
2018/3/15,229.6867,231.66
2018/3/16,231.66,238.369
2018/3/19,238.369,235.2118
2018/3/20,235.2118,235.6065
2018/3/21,236.7904,236.3958
2018/3/22,236.3958,232.4493
2018/3/23,228.5027,231.2653
2018/3/26,232.4493,232.8439
2018/3/27,234.4225,234.4225
2018/3/28,234.4225,234.4225
2018/3/29,235.2118,231.2653
2018/3/30,232.8439,233.6332
2018/3/31,234.8172,232.0546
2018/4/2,233.6332,233.2386
2018/4/3,232.0546,235.2118
2018/4/9,236.7904,236.3958
2018/4/10,235.6065,238.7637
2018/4/11,237.9744,237.1851
2018/4/12,237.1851,237.9744
2018/4/13,237.5797,239.1583
2018/4/16,237.9744,237.1851
2018/4/17,236.3958,237.9744
2018/4/18,238.369,238.7637
2018/4/19,238.369,241.1316
2018/4/20,238.369,239.553
2018/4/23,237.5797,232.8439
2018/4/24,233.2386,232.8439
2018/4/25,232.0546,232.8439
2018/4/26,231.2653,231.2653
2018/4/27,230.476,230.8707
2018/4/30,230.8707,230.8707
2018/5/2,230.8707,232.4493
2018/5/3,232.4493,230.8707
2018/5/4,230.476,229.292
2018/5/7,230.0813,229.292
2018/5/8,230.8707,231.66
2018/5/9,231.66,228.5027
2018/5/10,231.2653,237.5797
2018/5/11,238.7637,239.1583
2018/5/14,240.3423,238.369
2018/5/15,240.7369,241.9209
2018/5/16,241.5262,242.7102
2018/5/17,241.5262,240.7369
2018/5/18,240.7369,246.262
2018/5/21,247.0513,245.0781
2018/5/22,245.0781,241.1316
2018/5/23,241.1316,242.7102
2018/5/24,244.2888,245.4727
2018/5/25,242.7102,243.1048
2018/5/28,243.1048,242.3155
2018/5/29,243.1048,243.8941
2018/5/30,242.7102,240.7369
2018/5/31,242.3155,242.3155
2018/6/1,240.3423,246.262
2018/6/4,247.0513,248.6299
2018/6/5,248.6299,254.5497
2018/6/6,252.5764,251.7871
2018/6/7,252.5764,248.2353
2018/6/8,246.6567,249.4192
2018/6/11,249.4192,249.0246
2018/6/12,249.0246,250.6032
2018/6/13,251.7871,251.7871
2018/6/14,250.9978,247.446
2018/6/15,247.446,247.0513
2018/6/19,247.8406,254.155
2018/6/20,254.155,254.9443
2018/6/21,262.8374,263.6267
2018/6/22,262.0481,261.2588
2018/6/25,265.9946,264.416
2018/6/26,265.9946,275.4662
2018/6/27,273.0983,268.7571
2018/6/28,268.7571,269.1518
2018/6/29,271.125,272.7036
2018/7/2,271.9143,267.1785
2018/7/3,267.1785,267.9678
2018/7/4,268.3625,271.9143
2018/7/5,273.0983,269.5464
2018/7/6,270.7304,273.4929
2018/7/9,276.6501,277.4394
2018/7/10,277.4394,276.2555
2018/7/11,277.8341,278.6234
2018/7/12,271.5197,277.0448
2018/7/13,280.202,280.9913
2018/7/16,282.1752,276.2555
2018/7/17,278.2287,274.2822
2018/7/18,274.2822,276.6501
2018/7/19,277.8341,275.4662
2018/7/20,277.8341,282.5699
2018/7/23,286.911,293.6201
2018/7/24,294.4094,290.0683
2018/7/25,284.9378,261.2588
2018/7/26,261.6534,264.8106
2018/7/27,265.5999,260.8641
2018/7/30,257.3122,260.4695
2018/7/31,260.4695,265.5999
2018/8/1,262.1893,260.9103
2018/8/2,260.9103,260.484
2018/8/3,264.3209,264.3209
2018/8/6,266.8788,265.1735
2018/8/7,263.8946,263.4682
2018/8/8,264.7472,266.8788
2018/8/9,266.4525,261.7629
2018/8/10,264.3209,263.8946
2018/8/13,264.3209,261.7629
2018/8/14,262.6156,266.8788
2018/8/15,270.7157,269.0104
2018/8/16,271.1421,271.9947
2018/8/17,271.9947,270.7157
2018/8/20,269.0104,262.6156
2018/8/21,265.5998,270.7157
