年月日,開盤價(元),收盤價(元)
2018/1/2,252.5181,249.993
2018/1/3,251.6764,249.993
2018/1/4,251.6764,253.3599
2018/1/5,254.6225,249.1512
2018/1/8,250.4138,247.0469
2018/1/9,245.3635,248.3095
2018/1/10,252.5181,247.4678
2018/1/11,247.8886,249.5721
2018/1/12,251.2556,250.8347
2018/1/15,252.5181,255.4642
2018/1/16,256.3059,253.3599
2018/1/17,252.5181,252.0973
2018/1/18,254.2016,262.6189
2018/1/19,262.6189,257.1476
2018/1/22,259.252,261.3563
2018/1/23,262.6189,261.7771
2018/1/24,261.3563,259.6728
2018/1/25,259.6728,258.8311
2018/1/26,261.7771,257.5685
2018/1/29,257.9894,255.4642
2018/1/30,255.4642,252.0973
2018/1/31,252.0973,246.2052
2018/2/1,244.9426,249.5721
2018/2/2,247.8886,247.4678
2018/2/5,240.734,240.3131
2018/2/6,234.0002,229.3707
2018/2/7,239.0505,244.1009
2018/2/8,244.1009,244.9426
2018/2/9,239.0505,256.7268
2018/2/12,257.1476,251.6764
2018/2/21,255.0433,261.7771
2018/2/22,261.3563,262.6189
2018/2/23,264.3023,260.9354
2018/2/26,264.3023,260.5146
2018/2/27,263.0397,262.6189
2018/3/1,259.252,256.7268
2018/3/2,255.4642,259.252
2018/3/5,259.252,257.1476
2018/3/6,259.6728,264.3023
2018/3/7,264.3023,264.3023
2018/3/8,264.3023,268.9318
2018/3/9,276.9282,275.2448
2018/3/12,278.6117,277.77
2018/3/13,280.2951,276.0865
2018/3/14,276.0865,273.9822
2018/3/15,272.7196,276.5074
2018/3/16,276.5074,273.9822
2018/3/19,272.7196,270.1944
2018/3/20,267.6692,270.1944
2018/3/21,277.3491,291.2376
2018/3/22,291.2376,287.029
2018/3/23,281.5577,283.6621
2018/3/26,283.6621,287.8707
2018/3/27,291.2376,285.3455
2018/3/28,287.8707,287.029
2018/3/29,291.2376,286.1872
2018/3/30,288.2916,285.3455
2018/3/31,287.029,287.8707
2018/4/2,289.975,295.4462
2018/4/3,294.6045,297.1297
2018/4/9,301.7592,308.0721
2018/4/10,308.0721,309.7556
2018/4/11,317.3311,317.3311
2018/4/12,317.3311,316.0685
2018/4/13,318.1729,311.439
2018/4/16,312.2808,313.9642
2018/4/17,316.0685,302.1801
2018/4/18,303.0218,302.6009
2018/4/19,305.1261,307.2304
2018/4/20,307.2304,308.0721
2018/4/23,308.0721,298.3923
2018/4/24,302.1801,297.5506
2018/4/25,294.6045,303.0218
2018/4/26,305.9678,300.9175
2018/4/27,303.4426,303.0218
2018/4/30,304.7052,302.6009
2018/5/2,305.547,299.6549
2018/5/3,300.0757,301.7592
2018/5/4,300.9175,280.2951
2018/5/7,277.77,288.2916
2018/5/8,303.0218,303.0218
2018/5/9,305.547,311.439
2018/5/10,313.9642,311.439
2018/5/11,307.2304,308.9139
2018/5/14,309.7556,313.5434
2018/5/15,313.5434,311.8599
2018/5/16,311.8599,312.2808
2018/5/17,313.5434,319.8563
2018/5/18,317.3311,316.4894
2018/5/21,318.5937,319.4355
2018/5/22,321.1189,317.3311
2018/5/23,318.1729,318.1729
2018/5/24,318.1729,311.439
2018/5/25,312.7016,313.5434
2018/5/28,314.3851,311.8599
2018/5/29,313.5434,313.1225
2018/5/30,310.5973,302.1801
2018/5/31,305.547,308.0721
2018/6/1,311.0182,318.5937
2018/6/4,319.8563,324.065
2018/6/5,322.3815,319.0146
2018/6/6,320.698,327.8527
2018/6/7,318.1729,303.8635
2018/6/8,308.0721,310.5973
2018/6/11,305.9678,298.3923
2018/6/12,302.1801,301.3383
2018/6/13,305.547,300.4966
2018/6/14,302.1801,292.5002
2018/6/15,294.6045,300.0757
2018/6/19,294.1836,299.234
2018/6/20,299.234,294.6045
2018/6/21,297.1297,294.6045
2018/6/22,297.1297,290.8167
2018/6/25,292.5002,290.3959
2018/6/26,287.4498,292.0793
2018/6/27,291.2376,296.7088
2018/6/28,297.9714,296.7088
2018/6/29,298.3923,305.1261
2018/7/2,305.547,304.7052
2018/7/3,305.547,297.9714
2018/7/4,302.1801,300.4966
2018/7/5,304.2844,303.4426
2018/7/6,303.4426,298.8131
2018/7/9,298.8134,301.8404
2018/7/10,298.3809,300.1107
2018/7/11,295.7863,289.7322
2018/7/12,289.7322,300.1107
2018/7/13,298.8134,300.5431
2018/7/16,300.5431,302.7053
2018/7/17,305.2999,304.435
2018/7/18,304.435,302.7053
2018/7/19,303.5702,303.1377
2018/7/20,305.2999,304.0026
2018/7/23,306.5972,304.8675
2018/7/24,306.1648,305.2999
2018/7/25,307.8945,302.7053
2018/7/26,306.1648,300.1107
2018/7/27,300.9755,301.8404
2018/7/30,303.5702,301.8404
2018/7/31,302.2728,304.8675
2018/8/1,304.8675,302.7053
2018/8/2,302.7053,293.6241
2018/8/3,294.9214,295.7863
2018/8/6,297.5161,295.7863
2018/8/7,295.7863,298.3809
2018/8/8,311.354,324.3271
2018/8/9,320.4352,326.0568
2018/8/10,323.4622,326.0568
2018/8/13,326.0568,328.6515
2018/8/14,329.9488,333.8407
2018/8/15,333.8407,333.8407
2018/8/16,332.9758,331.6785
2018/8/17,329.5163,336.8677
2018/8/20,336.8677,327.3541
2018/8/21,327.7866,343.7867
2018/8/22,341.6245,341.6245
