年月日,開盤價(元),收盤價(元)
2018/1/2,239.5001,249.2938
2018/1/3,252.8551,245.2873
2018/1/4,246.6228,249.739
2018/1/5,251.9648,244.397
2018/1/8,236.8291,253.7455
2018/1/9,262.6488,252.8551
2018/1/10,251.0745,249.2938
2018/1/11,249.2938,250.1841
2018/1/12,255.5261,261.7585
2018/1/15,269.7715,252.8551
2018/1/16,251.9648,259.9778
2018/1/17,258.1972,255.5261
2018/1/18,259.9778,254.6358
2018/1/19,255.5261,251.0745
2018/1/22,250.6293,251.0745
2018/1/23,255.5261,245.7325
2018/1/24,244.8421,251.9648
2018/1/25,251.9648,246.6228
2018/1/26,248.4035,243.9518
2018/1/29,247.068,248.4035
2018/1/30,247.9583,245.7325
2018/1/31,247.068,248.8486
2018/2/1,251.0745,258.1972
2018/2/2,261.7585,253.3003
2018/2/5,242.6163,244.8421
2018/2/6,235.9388,220.3579
2018/2/7,227.9258,223.0289
2018/2/8,223.4741,210.5642
2018/2/9,192.3124,205.6674
2018/2/12,211.0094,202.9964
2018/2/21,210.1191,212.3449
2018/2/22,208.3384,214.5707
2018/2/23,217.2417,215.4611
2018/2/26,218.5772,212.7901
2018/2/27,216.7966,217.2417
2018/3/1,214.1256,216.7966
2018/3/2,212.7901,215.4611
2018/3/5,217.2417,205.6674
2018/3/6,208.3384,205.6674
2018/3/7,205.6674,198.5447
2018/3/8,198.9899,201.6609
2018/3/9,204.7771,204.7771
2018/3/12,207.8932,204.3319
2018/3/13,206.5577,210.1191
2018/3/14,210.1191,211.0094
2018/3/15,215.0159,231.9323
2018/3/16,239.0549,231.9323
2018/3/19,231.4871,229.2613
2018/3/20,227.0354,222.1386
2018/3/21,226.5903,243.9518
2018/3/22,251.0745,249.2938
2018/3/23,238.6098,253.7455
2018/3/26,259.0875,267.9908
2018/3/27,276.449,267.5457
2018/3/28,267.9908,273.3328
2018/3/29,284.0169,270.2167
2018/3/30,274.2232,274.2232
2018/3/31,277.7845,274.6683
2018/4/2,275.5587,267.5457
2018/4/3,263.5392,275.1135
2018/4/9,278.6749,275.1135
2018/4/10,276.0039,302.2687
2018/4/11,306.2752,303.1591
2018/4/12,306.2752,311.6173
2018/4/13,318.7399,329.424
2018/4/16,335.6563,362.3663
2018/4/17,371.2697,345.45
2018/4/18,354.3533,342.3338
2018/4/19,348.121,345.45
2018/4/20,340.5531,327.6433
2018/4/23,331.2046,312.5076
2018/4/24,318.2948,312.5076
2018/4/25,314.2883,313.8431
2018/4/26,320.0754,288.0234
2018/4/27,302.7139,293.8106
2018/4/30,297.3719,313.3979
2018/5/2,317.8496,305.3849
2018/5/3,304.4946,296.0364
2018/5/4,297.8171,322.3013
2018/5/7,332.095,330.3143
2018/5/8,322.3013,323.1916
2018/5/9,327.6433,332.095
2018/5/10,338.3273,331.6498
2018/5/11,336.5466,330.3143
2018/5/14,338.3273,339.2176
2018/5/15,339.2176,331.2046
2018/5/16,332.095,328.9788
2018/5/17,332.5401,325.8626
2018/5/18,329.8691,320.5206
2018/5/21,322.7464,352.5727
2018/5/22,359.6953,379.2827
2018/5/23,387.2957,383.2892
2018/5/24,389.0764,411.3348
2018/5/25,411.3348,405.1024
2018/5/28,411.3348,402.4314
2018/5/29,404.6573,388.1861
2018/5/30,385.5151,407.7734
