年月日,開盤價(元),收盤價(元)
2024/2/5,128,130
2024/2/2,132,129.5
2024/2/1,135,133
2024/1/31,135,136
2024/1/30,137,136
2024/1/29,137,137
2024/1/26,137,137
2024/1/25,134.5,137
2024/1/24,135,134
2024/1/23,135.5,134.5
2024/1/22,131.5,134.5
2024/1/19,131,131
2024/1/18,125,127
2024/1/17,124,125
2024/1/16,124.5,125.5
2024/1/15,128,125.5
2024/1/12,126,126
2024/1/11,126.5,125.5
2024/1/10,126,126.5
2024/1/9,128,126.5
2024/1/8,126.5,126
2024/1/5,127,126.5
2024/1/4,126.5,127
2024/1/3,130.5,126.5
2024/1/2,134.5,133.5
2023/12/29,136,135
2023/12/28,134,135.5
2023/12/27,133,133.5
2023/12/26,132,132.5
2023/12/25,131.5,131
2023/12/22,130.5,131.5
2023/12/21,129.5,130
2023/12/20,133,131.5
2023/12/19,131.5,131.5
2023/12/18,129,131.5
2023/12/15,133.5,131
2023/12/14,132,133.5
2023/12/13,129.5,130
2023/12/12,131,129.5
2023/12/11,130,131
2023/12/8,128,129.5
2023/12/7,129,126.5
2023/12/6,128.5,129
2023/12/5,129,129.5
2023/12/4,129,130
2023/12/1,127,128
2023/11/30,127,128
2023/11/29,125.5,127
2023/11/28,126,125.5
2023/11/27,126.5,126
2023/11/24,127,126.5
2023/11/23,126,127
2023/11/22,125.5,126.5
2023/11/21,124.5,127
2023/11/20,125,124
2023/11/17,124.5,125.5
2023/11/16,126,125
2023/11/15,125,126
2023/11/14,123.5,123.5
2023/11/13,120.5,122.5
2023/11/10,117.5,117.5
2023/11/9,117,118
2023/11/8,117,117.5
2023/11/7,118,117.5
2023/11/6,118.5,118.5
2023/11/3,116.5,117.5
2023/11/2,115,116
2023/11/1,113,114.5
2023/10/31,112,113.5
2023/10/30,113,112
2023/10/27,111,113.5
2023/10/26,111,112
2023/10/25,113,114
2023/10/24,114.5,114
2023/10/23,117.5,115
2023/10/20,115,118.5
2023/10/19,115.5,116
2023/10/18,116,116
2023/10/17,117,116
2023/10/16,115,116
2023/10/13,115.5,116.5
2023/10/12,116,116.5
2023/10/11,113,115.5
2023/10/6,112,110.5
2023/10/5,110,112
2023/10/4,109,109.5
2023/10/3,110.5,110.5
2023/10/2,110.5,111
2023/9/28,109.5,109.5
2023/9/27,107.5,109.5
2023/9/26,111.5,109
2023/9/25,112.5,112.5
2023/9/22,111,112
2023/9/21,113.5,112
2023/9/20,115,114.5
2023/9/19,113.5,114
2023/9/18,114,113.5
2023/9/15,115.5,116
2023/9/14,113.5,115.5
2023/9/13,115.5,112.5
2023/9/12,114.5,115.5
2023/9/11,116,113.5
2023/9/8,117,116.5
2023/9/7,117,118.5
2023/9/6,118.5,118
2023/9/5,117,118.5
2023/9/4,118.5,118
2023/9/1,118,118.5
2023/8/31,119,118
2023/8/30,119,120
2023/8/29,119,117.5
2023/8/28,121,119
2023/8/25,111,116.5
2023/8/24,111,113
2023/8/23,107.5,109.5
2023/8/22,108.5,108.5
2023/8/21,107.5,108
2023/8/18,108,107
2023/8/17,106,108.5
2023/8/16,109,108
2023/8/15,110.5,110
2023/8/14,110,109.5
2023/8/11,110.5,110.5
2023/8/10,110.5,111
2023/8/9,109,111
2023/8/8,111.5,109
2023/8/7,109,111.5
2023/8/4,109.5,109
2023/8/2,112.5,110.5
2023/8/1,114.5,114
2023/7/31,118,114.5
2023/7/28,116,117.5
2023/7/27,112.5,114
2023/7/26,115.5,113.5
2023/7/25,112,114.5
2023/7/24,111,110.5
2023/7/21,110,110.5
2023/7/20,112.5,113.5
2023/7/19,116,112.5
2023/7/18,117,116
2023/7/17,116.5,115
2023/7/14,111,115
2023/7/13,112,110
2023/7/12,109.5,110
2023/7/11,109.5,109.5
2023/7/10,109,108
2023/7/7,109,109
2023/7/6,110.5,108.5
2023/7/5,110.5,111.5
2023/7/4,110.5,111
2023/7/3,111,111
2023/6/30,113.5,110.5
2023/6/29,115.0922,113.7
2023/6/28,113.7,115.0922
2023/6/27,116.9485,115.0922
2023/6/26,116.4845,116.9485
2023/6/21,116.4845,117.4126
2023/6/20,117.4126,117.4126
2023/6/19,116.0204,117.4126
2023/6/16,116.0204,116.4845
2023/6/15,116.0204,117.4126
2023/6/14,117.4126,115.5563
2023/6/13,117.8767,118.8049
2023/6/12,117.8767,116.4845
2023/6/9,115.5563,116.9485
2023/6/8,114.6281,113.7
2023/6/7,115.0922,116.0204
